GENDER_LABEL,EDUC_LEVEL,AGE_GROUP,MARSTAT_LABEL,MH1_LABEL,count,percentage
Female,Middle School or below,30s,"Divorced, widowed",Schizophrenia or other psychotic disorders,87,0.8636950263079519
Female,Middle School or below,30s,"Divorced, widowed",Trauma- and stressor-related disorders,149,0.998726456196796
Female,Middle School or below,30s,"Divorced, widowed",unknown/invalid,68,0.6832797427652734
Female,Middle School or below,30s,Never married,Alcohol or substance use disorders,260,17.881705639614857
Female,Middle School or below,30s,Never married,Anxiety disorders,581,4.033041788143829
Female,Middle School or below,30s,Never married,Attention deficit/hyperactivity disorder (ADHD),373,15.639412997903564
Female,Middle School or below,30s,Never married,Bipolar disorders,883,9.80239786856128
Female,Middle School or below,30s,Never married,Conduct disorders,181,35.77075098814229
Female,Middle School or below,30s,Never married,Delirium/dementia disorders,8,2.0408163265306123
Female,Middle School or below,30s,Never married,Depressive disorders,1926,7.476708074534162
Female,Middle School or below,30s,Never married,Oppositional defiant disorders,426,41.72380019588638
Female,Middle School or below,30s,Never married,Other disorders/conditions,884,13.663060278207109
Female,Middle School or below,30s,Never married,Personality disorders,58,7.125307125307126
Female,Middle School or below,30s,Never married,Pervasive developmental disorders,55,22.0
Female,Middle School or below,30s,Never married,Schizophrenia or other psychotic disorders,715,7.098183262186042
Female,Middle School or below,30s,Never married,Trauma- and stressor-related disorders,2036,13.64702728064884
Female,Middle School or below,30s,Never married,unknown/invalid,895,8.993167202572346
Female,Middle School or below,30s,Now married,Alcohol or substance use disorders,61,4.195323246217331
Female,Middle School or below,30s,Now married,Anxiety disorders,177,1.2286547271970012
Female,Middle School or below,30s,Now married,Attention deficit/hyperactivity disorder (ADHD),13,0.5450733752620545
Female,Middle School or below,30s,Now married,Bipolar disorders,240,2.664298401420959
Female,Middle School or below,30s,Now married,Delirium/dementia disorders,2,0.5102040816326531
Female,Middle School or below,30s,Now married,Depressive disorders,517,2.0069875776397517
Female,Middle School or below,30s,Now married,Oppositional defiant disorders,6,0.5876591576885406
Female,Middle School or below,30s,Now married,Other disorders/conditions,79,1.221020092735703
Female,Middle School or below,30s,Now married,Personality disorders,10,1.2285012285012284
Female,Middle School or below,30s,Now married,Schizophrenia or other psychotic disorders,106,1.0523180780303782
Female,Middle School or below,30s,Now married,Trauma- and stressor-related disorders,261,1.7494470138749247
Female,Middle School or below,30s,Now married,unknown/invalid,117,1.1756430868167205
Female,Middle School or below,30s,Separated,Alcohol or substance use disorders,41,2.8198074277854195
Female,Middle School or below,30s,Separated,Anxiety disorders,74,0.5136748576981813
Female,Middle School or below,30s,Separated,Attention deficit/hyperactivity disorder (ADHD),4,0.1677148846960167
Female,Middle School or below,30s,Separated,Bipolar disorders,154,1.7095914742451153
Female,Middle School or below,30s,Separated,Depressive disorders,215,0.8346273291925466
Female,Middle School or below,30s,Separated,Oppositional defiant disorders,2,0.1958863858961802
Female,Middle School or below,30s,Separated,Other disorders/conditions,33,0.5100463678516229
Female,Middle School or below,30s,Separated,Personality disorders,6,0.7371007371007371
Female,Middle School or below,30s,Separated,Schizophrenia or other psychotic disorders,60,0.5956517422813462
Female,Middle School or below,30s,Separated,Trauma- and stressor-related disorders,118,0.7909377304108854
Female,Middle School or below,30s,Separated,unknown/invalid,61,0.6129421221864952
Female,Middle School or below,30s,unknown/invalid,Alcohol or substance use disorders,18,1.237964236588721
Female,Middle School or below,30s,unknown/invalid,Anxiety disorders,2527,17.54130223517979
Female,Middle School or below,30s,unknown/invalid,Attention deficit/hyperactivity disorder (ADHD),350,14.675052410901468
Female,Middle School or below,30s,unknown/invalid,Bipolar disorders,415,4.607015985790409
Female,Middle School or below,30s,unknown/invalid,Conduct disorders,12,2.371541501976284
Female,Middle School or below,30s,unknown/invalid,Delirium/dementia disorders,1,0.2551020408163265
Female,Middle School or below,30s,unknown/invalid,Depressive disorders,1436,5.574534161490683
Female,Middle School or below,30s,unknown/invalid,Oppositional defiant disorders,17,1.665034280117532
Female,Middle School or below,30s,unknown/invalid,Other disorders/conditions,447,6.908809891808346
Female,Middle School or below,30s,unknown/invalid,Personality disorders,99,12.162162162162163
Female,Middle School or below,30s,unknown/invalid,Pervasive developmental disorders,1,0.4
Female,Middle School or below,30s,unknown/invalid,Schizophrenia or other psychotic disorders,233,2.3131142658592276
Female,Middle School or below,30s,unknown/invalid,Trauma- and stressor-related disorders,1958,13.124204035122997
Female,Middle School or below,30s,unknown/invalid,unknown/invalid,509,5.114549839228296
Female,Middle School or below,40s,"Divorced, widowed",Alcohol or substance use disorders,65,4.470426409903714
Female,Middle School or below,40s,"Divorced, widowed",Anxiety disorders,158,1.0967652367069278
Female,Middle School or below,40s,"Divorced, widowed",Attention deficit/hyperactivity disorder (ADHD),6,0.2515723270440251
Female,Middle School or below,40s,"Divorced, widowed",Bipolar disorders,421,4.673623445825933
Female,Middle School or below,40s,"Divorced, widowed",Delirium/dementia disorders,1,0.2551020408163265
Female,Middle School or below,40s,"Divorced, widowed",Depressive disorders,627,2.434006211180124
Female,Middle School or below,40s,"Divorced, widowed",Other disorders/conditions,65,1.0046367851622875
Female,Middle School or below,40s,"Divorced, widowed",Personality disorders,26,3.194103194103194
Female,Middle School or below,40s,"Divorced, widowed",Schizophrenia or other psychotic disorders,262,2.601012607961878
Female,Middle School or below,40s,"Divorced, widowed",Trauma- and stressor-related disorders,220,1.4746296668677523
Female,Middle School or below,40s,"Divorced, widowed",unknown/invalid,117,1.1756430868167205
Female,Middle School or below,40s,Never married,Alcohol or substance use disorders,173,11.898211829436038
Female,Middle School or below,40s,Never married,Anxiety disorders,323,2.242121338331251
Female,Middle School or below,40s,Never married,Attention deficit/hyperactivity disorder (ADHD),63,2.6415094339622645
Female,Middle School or below,40s,Never married,Bipolar disorders,721,8.00399644760213
Female,Middle School or below,40s,Never married,Conduct disorders,105,20.75098814229249
Female,Middle School or below,40s,Never married,Delirium/dementia disorders,2,0.5102040816326531
Female,Middle School or below,40s,Never married,Depressive disorders,1294,5.023291925465839
Female,Middle School or below,40s,Never married,Oppositional defiant disorders,126,12.340842311459353
Female,Middle School or below,40s,Never married,Other disorders/conditions,447,6.908809891808346
Female,Middle School or below,40s,Never married,Personality disorders,35,4.2997542997543
Female,Middle School or below,40s,Never married,Pervasive developmental disorders,27,10.8
Female,Middle School or below,40s,Never married,Schizophrenia or other psychotic disorders,829,8.2299215725206
Female,Middle School or below,40s,Never married,Trauma- and stressor-related disorders,931,6.240364635699444
Female,Middle School or below,40s,Never married,unknown/invalid,774,7.777331189710611
Female,Middle School or below,40s,Now married,Alcohol or substance use disorders,41,2.8198074277854195
Female,Middle School or below,40s,Now married,Anxiety disorders,212,1.471609051783979
Female,Middle School or below,40s,Now married,Attention deficit/hyperactivity disorder (ADHD),5,0.2096436058700209
Female,Middle School or below,40s,Now married,Bipolar disorders,323,3.585701598579041
Female,Middle School or below,40s,Now married,Conduct disorders,1,0.1976284584980237
Female,Middle School or below,40s,Now married,Depressive disorders,794,3.0822981366459627
Female,Middle School or below,40s,Now married,Oppositional defiant disorders,1,0.0979431929480901
Female,Middle School or below,40s,Now married,Other disorders/conditions,88,1.3601236476043277
Female,Middle School or below,40s,Now married,Personality disorders,13,1.597051597051597
Female,Middle School or below,40s,Now married,Schizophrenia or other psychotic disorders,224,2.223766504517026
Female,Middle School or below,40s,Now married,Trauma- and stressor-related disorders,282,1.8902071184395737
Female,Middle School or below,40s,Now married,unknown/invalid,137,1.3766077170418003
Female,Middle School or below,40s,Separated,Alcohol or substance use disorders,48,3.3012379642365883
Female,Middle School or below,40s,Separated,Anxiety disorders,68,0.4720255449118422
Female,Middle School or below,40s,Separated,Attention deficit/hyperactivity disorder (ADHD),3,0.1257861635220125
Female,Middle School or below,40s,Separated,Bipolar disorders,207,2.297957371225577
Female,Middle School or below,40s,Separated,Conduct disorders,1,0.1976284584980237
Female,Middle School or below,40s,Separated,Depressive disorders,364,1.4130434782608696
Female,Middle School or below,40s,Separated,Other disorders/conditions,27,0.4173106646058733
Female,Middle School or below,40s,Separated,Personality disorders,8,0.9828009828009828
Female,Middle School or below,40s,Separated,Schizophrenia or other psychotic disorders,144,1.429564181475231
Female,Middle School or below,40s,Separated,Trauma- and stressor-related disorders,128,0.857966351632147
Female,Middle School or below,40s,Separated,unknown/invalid,83,0.8340032154340836
Female,Middle School or below,40s,unknown/invalid,Alcohol or substance use disorders,17,1.169188445667125
Female,Middle School or below,40s,unknown/invalid,Anxiety disorders,1421,9.863945578231291
Female,Middle School or below,40s,unknown/invalid,Attention deficit/hyperactivity disorder (ADHD),160,6.708595387840671
Female,Middle School or below,40s,unknown/invalid,Bipolar disorders,346,3.841030195381883
Female,Middle School or below,40s,unknown/invalid,Conduct disorders,5,0.9881422924901186
Female,Middle School or below,40s,unknown/invalid,Delirium/dementia disorders,4,1.020408163265306
Female,Middle School or below,40s,unknown/invalid,Depressive disorders,1300,5.046583850931677
Female,Middle School or below,40s,unknown/invalid,Oppositional defiant disorders,2,0.1958863858961802
Female,Middle School or below,40s,unknown/invalid,Other disorders/conditions,276,4.265842349304482
Female,Middle School or below,40s,unknown/invalid,Personality disorders,76,9.336609336609335
Female,Middle School or below,40s,unknown/invalid,Pervasive developmental disorders,1,0.4
Female,Middle School or below,40s,unknown/invalid,Schizophrenia or other psychotic disorders,287,2.8492008339124393
Female,Middle School or below,40s,unknown/invalid,Trauma- and stressor-related disorders,1285,8.6131778269321
Female,Middle School or below,40s,unknown/invalid,unknown/invalid,378,3.798231511254019
Female,Middle School or below,50s,"Divorced, widowed",Alcohol or substance use disorders,62,4.264099037138927
Female,Middle School or below,50s,"Divorced, widowed",Anxiety disorders,282,1.9575177009579343
Female,Middle School or below,50s,"Divorced, widowed",Attention deficit/hyperactivity disorder (ADHD),8,0.3354297693920335
Female,Middle School or below,50s,"Divorced, widowed",Bipolar disorders,641,7.115896980461811
Female,Middle School or below,50s,"Divorced, widowed",Delirium/dementia disorders,3,0.7653061224489796
Female,Middle School or below,50s,"Divorced, widowed",Depressive disorders,1349,5.236801242236025
Female,Middle School or below,50s,"Divorced, widowed",Oppositional defiant disorders,1,0.0979431929480901
Female,Middle School or below,50s,"Divorced, widowed",Other disorders/conditions,112,1.731066460587326
Female,Middle School or below,50s,"Divorced, widowed",Personality disorders,24,2.9484029484029484
Female,Middle School or below,50s,"Divorced, widowed",Schizophrenia or other psychotic disorders,540,5.3608656805321155
Female,Middle School or below,50s,"Divorced, widowed",Trauma- and stressor-related disorders,286,1.9170185669280784
Female,Middle School or below,50s,"Divorced, widowed",unknown/invalid,236,2.3713826366559485
Female,Middle School or below,50s,Never married,Alcohol or substance use disorders,102,7.015130674002751
Female,Middle School or below,50s,Never married,Anxiety disorders,246,1.7076218242399002
Female,Middle School or below,50s,Never married,Attention deficit/hyperactivity disorder (ADHD),24,1.0062893081761006
Female,Middle School or below,50s,Never married,Bipolar disorders,550,6.105683836589698
Female,Middle School or below,50s,Never married,Conduct disorders,25,4.940711462450593
Female,Middle School or below,50s,Never married,Delirium/dementia disorders,10,2.5510204081632653
Female,Middle School or below,50s,Never married,Depressive disorders,1191,4.623447204968944
Female,Middle School or below,50s,Never married,Oppositional defiant disorders,12,1.1753183153770812
Female,Middle School or below,50s,Never married,Other disorders/conditions,357,5.517774343122102
Female,Middle School or below,50s,Never married,Personality disorders,21,2.5798525798525795
Female,Middle School or below,50s,Never married,Pervasive developmental disorders,25,10.0
Female,Middle School or below,50s,Never married,Schizophrenia or other psychotic disorders,1016,10.086369502630795
Female,Middle School or below,50s,Never married,Trauma- and stressor-related disorders,292,1.9572357396608353
Female,Middle School or below,50s,Never married,unknown/invalid,461,4.632234726688103
Female,Middle School or below,50s,Now married,Alcohol or substance use disorders,38,2.613480055020633
Female,Middle School or below,50s,Now married,Anxiety disorders,198,1.3744273219491878
Female,Middle School or below,50s,Now married,Attention deficit/hyperactivity disorder (ADHD),6,0.2515723270440251
Female,Middle School or below,50s,Now married,Bipolar disorders,310,3.4413854351687387
Female,Middle School or below,50s,Now married,Delirium/dementia disorders,4,1.020408163265306
Female,Middle School or below,50s,Now married,Depressive disorders,1030,3.998447204968944
Female,Middle School or below,50s,Now married,Other disorders/conditions,98,1.5146831530139104
Female,Middle School or below,50s,Now married,Personality disorders,12,1.4742014742014742
Female,Middle School or below,50s,Now married,Schizophrenia or other psychotic disorders,323,3.206591879281247
Female,Middle School or below,50s,Now married,Trauma- and stressor-related disorders,201,1.3472752865473556
Female,Middle School or below,50s,Now married,unknown/invalid,177,1.7785369774919613
Female,Middle School or below,50s,Separated,Alcohol or substance use disorders,34,2.33837689133425
Female,Middle School or below,50s,Separated,Anxiety disorders,84,0.5830903790087464
Female,Middle School or below,50s,Separated,Attention deficit/hyperactivity disorder (ADHD),5,0.2096436058700209
Female,Middle School or below,50s,Separated,Bipolar disorders,250,2.7753108348134994
Female,Middle School or below,50s,Separated,Conduct disorders,1,0.1976284584980237
Female,Middle School or below,50s,Separated,Delirium/dementia disorders,1,0.2551020408163265
Female,Middle School or below,50s,Separated,Depressive disorders,530,2.0574534161490683
Female,Middle School or below,50s,Separated,Other disorders/conditions,33,0.5100463678516229
Female,Middle School or below,50s,Separated,Personality disorders,9,1.1056511056511056
Female,Middle School or below,50s,Separated,Schizophrenia or other psychotic disorders,237,2.3528243820113173
Female,Middle School or below,50s,Separated,Trauma- and stressor-related disorders,106,0.7105033849453717
Female,Middle School or below,50s,Separated,unknown/invalid,108,1.0852090032154342
Female,Middle School or below,50s,unknown/invalid,Alcohol or substance use disorders,8,0.5502063273727648
Female,Middle School or below,50s,unknown/invalid,Anxiety disorders,1284,8.91295293627655
Female,Middle School or below,50s,unknown/invalid,Attention deficit/hyperactivity disorder (ADHD),100,4.1928721174004195
Female,Middle School or below,50s,unknown/invalid,Bipolar disorders,401,4.451598579040852
Female,Middle School or below,50s,unknown/invalid,Conduct disorders,5,0.9881422924901186
Female,Middle School or below,50s,unknown/invalid,Delirium/dementia disorders,1,0.2551020408163265
Female,Middle School or below,50s,unknown/invalid,Depressive disorders,1723,6.688664596273291
Female,Middle School or below,50s,unknown/invalid,Other disorders/conditions,317,4.899536321483771
Female,Middle School or below,50s,unknown/invalid,Personality disorders,57,7.002457002457002
Female,Middle School or below,50s,unknown/invalid,Schizophrenia or other psychotic disorders,415,4.119924550779311
Female,Middle School or below,50s,unknown/invalid,Trauma- and stressor-related disorders,995,6.669347811515518
Female,Middle School or below,50s,unknown/invalid,unknown/invalid,408,4.09967845659164
Female,Middle School or below,60s,"Divorced, widowed",Alcohol or substance use disorders,51,3.5075653370013753
Female,Middle School or below,60s,"Divorced, widowed",Anxiety disorders,457,3.1722893238928225
Female,Middle School or below,60s,"Divorced, widowed",Bipolar disorders,599,6.649644760213144
Female,Middle School or below,60s,"Divorced, widowed",Conduct disorders,1,0.1976284584980237
Female,Middle School or below,60s,"Divorced, widowed",Delirium/dementia disorders,189,48.214285714285715
Female,Middle School or below,60s,"Divorced, widowed",Depressive disorders,2489,9.66226708074534
Female,Middle School or below,60s,"Divorced, widowed",Other disorders/conditions,299,4.621329211746522
Female,Middle School or below,60s,"Divorced, widowed",Personality disorders,28,3.43980343980344
Female,Middle School or below,60s,"Divorced, widowed",Schizophrenia or other psychotic disorders,1225,12.161223071577483
Female,Middle School or below,60s,"Divorced, widowed",Trauma- and stressor-related disorders,398,2.6677391246062068
Female,Middle School or below,60s,"Divorced, widowed",unknown/invalid,859,8.631430868167204
Female,Middle School or below,60s,Never married,Alcohol or substance use disorders,49,3.370013755158184
Female,Middle School or below,60s,Never married,Anxiety disorders,292,2.0269332222684993
Female,Middle School or below,60s,Never married,Attention deficit/hyperactivity disorder (ADHD),22,0.9224318658280924
Female,Middle School or below,60s,Never married,Bipolar disorders,314,3.4857904085257547
Female,Middle School or below,60s,Never married,Conduct disorders,19,3.7549407114624502
Female,Middle School or below,60s,Never married,Delirium/dementia disorders,56,14.285714285714285
Female,Middle School or below,60s,Never married,Depressive disorders,1114,4.324534161490683
Female,Middle School or below,60s,Never married,Oppositional defiant disorders,15,1.4691478942213516
Female,Middle School or below,60s,Never married,Other disorders/conditions,725,11.205564142194744
Female,Middle School or below,60s,Never married,Personality disorders,18,2.211302211302211
Female,Middle School or below,60s,Never married,Pervasive developmental disorders,18,7.199999999999999
Female,Middle School or below,60s,Never married,Schizophrenia or other psychotic disorders,1246,12.369701181375955
Female,Middle School or below,60s,Never married,Trauma- and stressor-related disorders,200,1.3405724244252295
Female,Middle School or below,60s,Never married,unknown/invalid,455,4.571945337620579
Female,Middle School or below,60s,Now married,Alcohol or substance use disorders,14,0.9628610729023384
Female,Middle School or below,60s,Now married,Anxiety disorders,255,1.7700957934194086
Female,Middle School or below,60s,Now married,Attention deficit/hyperactivity disorder (ADHD),3,0.1257861635220125
Female,Middle School or below,60s,Now married,Bipolar disorders,266,2.952930728241563
Female,Middle School or below,60s,Now married,Delirium/dementia disorders,49,12.5
Female,Middle School or below,60s,Now married,Depressive disorders,1244,4.829192546583851
Female,Middle School or below,60s,Now married,Oppositional defiant disorders,1,0.0979431929480901
Female,Middle School or below,60s,Now married,Other disorders/conditions,174,2.689335394126739
Female,Middle School or below,60s,Now married,Personality disorders,13,1.597051597051597
Female,Middle School or below,60s,Now married,Schizophrenia or other psychotic disorders,483,4.794996525364837
Female,Middle School or below,60s,Now married,Trauma- and stressor-related disorders,217,1.4545210805013742
Female,Middle School or below,60s,Now married,unknown/invalid,460,4.622186495176849
Female,Middle School or below,60s,Separated,Alcohol or substance use disorders,17,1.169188445667125
Female,Middle School or below,60s,Separated,Anxiety disorders,120,0.8329862557267805
Female,Middle School or below,60s,Separated,Attention deficit/hyperactivity disorder (ADHD),2,0.0838574423480083
Female,Middle School or below,60s,Separated,Bipolar disorders,122,1.3543516873889876
Female,Middle School or below,60s,Separated,Conduct disorders,1,0.1976284584980237
Female,Middle School or below,60s,Separated,Delirium/dementia disorders,5,1.2755102040816326
Female,Middle School or below,60s,Separated,Depressive disorders,720,2.7950310559006213
Female,Middle School or below,60s,Separated,Other disorders/conditions,70,1.0819165378670788
Female,Middle School or below,60s,Separated,Personality disorders,5,0.6142506142506142
Female,Middle School or below,60s,Separated,Schizophrenia or other psychotic disorders,329,3.2661570535093816
Female,Middle School or below,60s,Separated,Trauma- and stressor-related disorders,118,0.7909377304108854
Female,Middle School or below,60s,Separated,unknown/invalid,212,2.130225080385852
Female,Middle School or below,60s,unknown/invalid,Alcohol or substance use disorders,8,0.5502063273727648
Female,Middle School or below,60s,unknown/invalid,Anxiety disorders,1365,9.475218658892128
Female,Middle School or below,60s,unknown/invalid,Attention deficit/hyperactivity disorder (ADHD),44,1.844863731656185
Female,Middle School or below,60s,unknown/invalid,Bipolar disorders,332,3.685612788632327
Female,Middle School or below,60s,unknown/invalid,Conduct disorders,9,1.7786561264822136
Female,Middle School or below,60s,unknown/invalid,Delirium/dementia disorders,50,12.755102040816327
Female,Middle School or below,60s,unknown/invalid,Depressive disorders,2195,8.520962732919255
Female,Middle School or below,60s,unknown/invalid,Oppositional defiant disorders,3,0.2938295788442703
Female,Middle School or below,60s,unknown/invalid,Other disorders/conditions,364,5.62596599690881
Female,Middle School or below,60s,unknown/invalid,Personality disorders,66,8.108108108108109
Female,Middle School or below,60s,unknown/invalid,Pervasive developmental disorders,2,0.8
Female,Middle School or below,60s,unknown/invalid,Schizophrenia or other psychotic disorders,676,6.711009629703167
Female,Middle School or below,60s,unknown/invalid,Trauma- and stressor-related disorders,1014,6.796702191835914
Female,Middle School or below,60s,unknown/invalid,unknown/invalid,723,7.264871382636656
Female,High School Graduate,20s,"Divorced, widowed",Alcohol or substance use disorders,104,0.7926225135279322
Female,High School Graduate,20s,"Divorced, widowed",Anxiety disorders,482,0.7386859971494689
Female,High School Graduate,20s,"Divorced, widowed",Attention deficit/hyperactivity disorder (ADHD),16,0.2853067047075606
Female,High School Graduate,20s,"Divorced, widowed",Bipolar disorders,637,0.7188074792087475
Female,High School Graduate,20s,"Divorced, widowed",Conduct disorders,2,0.5102040816326531
Female,High School Graduate,20s,"Divorced, widowed",Delirium/dementia disorders,1,0.0728332119446467
Female,High School Graduate,20s,"Divorced, widowed",Depressive disorders,1171,0.7040475217046247
Female,High School Graduate,20s,"Divorced, widowed",Other disorders/conditions,145,0.5164001567007372
Female,High School Graduate,20s,"Divorced, widowed",Personality disorders,66,0.9013930620049166
Female,High School Graduate,20s,"Divorced, widowed",Pervasive developmental disorders,1,0.1129943502824858
Female,High School Graduate,20s,"Divorced, widowed",Schizophrenia or other psychotic disorders,155,0.245086412725519
Female,High School Graduate,20s,"Divorced, widowed",Trauma- and stressor-related disorders,603,0.9833659491193738
Female,High School Graduate,20s,"Divorced, widowed",unknown/invalid,249,0.53776213204328
Female,High School Graduate,20s,Never married,Alcohol or substance use disorders,2056,15.66953738282143
Female,High School Graduate,20s,Never married,Anxiety disorders,7992,12.24808815190572
Female,High School Graduate,20s,Never married,Attention deficit/hyperactivity disorder (ADHD),908,16.191155492154067
Female,High School Graduate,20s,Never married,Bipolar disorders,11017,12.43187126914093
Female,High School Graduate,20s,Never married,Conduct disorders,85,21.683673469387756
Female,High School Graduate,20s,Never married,Delirium/dementia disorders,31,2.2578295702840494
Female,High School Graduate,20s,Never married,Depressive disorders,22518,13.538635434453235
Female,High School Graduate,20s,Never married,Oppositional defiant disorders,69,35.025380710659896
Female,High School Graduate,20s,Never married,Other disorders/conditions,4398,15.662950959792015
Female,High School Graduate,20s,Never married,Personality disorders,972,13.275061458617865
Female,High School Graduate,20s,Never married,Pervasive developmental disorders,476,53.78531073446327
Female,High School Graduate,20s,Never married,Schizophrenia or other psychotic disorders,5306,8.389861328526477
Female,High School Graduate,20s,Never married,Trauma- and stressor-related disorders,8124,13.248532289628178
Female,High School Graduate,20s,Never married,unknown/invalid,5517,11.914994708766171
Female,High School Graduate,20s,Now married,Alcohol or substance use disorders,270,2.0577699870436703
